,x,y
ABW,230.43,510.30000000000007
ACO,868.27,224.82000000000005
AEI,707.54,94.84000000000003
AEL,170.28,31.950000000000045
AEN,41.49,33.80000000000007
AET,92.93,66.96000000000004
AFG,72.04,401.0300000000001
AFI,474.23,121.39000000000004
AFN,150.87,353.90000000000003
AFO,154.26,51.07000000000005
AFR,610.03,273.09000000000003
AFS,626.22,239.08000000000004
AFT,715.9,113.68000000000006
AFV,741.19,201.30000000000007
AFX,723.39,133.40000000000003
AFY,724.65,84.02000000000004
AHT,184.3,12.940000000000055
ANA,176.31,294.13000000000005
ANO,579.01,398.18000000000006
APC,49.43,454.61
APD,238.22,487.07000000000005
AST,753.56,254.45000000000005
ASV,191.76,252.34000000000003
ATN,210.3,346.7800000000001
ATO,203.99,49.80000000000007
ATS,490.12,246.94000000000005
ATT,85.99,335.83000000000004
ATV,395.97,140.04000000000002
AVE,562.1,397.9200000000001
AVL,772.85,196.93000000000006
AWO,299.68,368.82000000000005
AWW,103.93,372.5400000000001
BCT,224.66,35.55000000000007
BEA,411.25,391.05000000000007
BEC,352.95,432.99000000000007
BIK,419.61,161.35000000000002
BOF,285.56,240.74000000000007
BOG,410.89,293.75000000000006
BOZ,551.99,37.55000000000007
BPH,617.54,220.47000000000003
BRE,237.98,304.27000000000004
BSV,449.25,397.56000000000006
CAN,117.92,421.1700000000001
CAS,395.7,168.04000000000002
CDO,406.7,59.04000000000002
CFI,331.32,195.61000000000007
CGF,257.74,233.77000000000004
CGS,550.95,375.61
CHA,685.47,87.28000000000003
CHI,29.47,57.85000000000002
CLO,707.21,24.3900000000001
CON,399.89,358.46000000000004
CSV,468.03,357.84000000000003
CTH,352.56,309.74
CZP,177.31,205.31000000000006
DAC,237.0,418.77000000000004
DDR,260.38,347.0300000000001
DFO,368.96,456.00000000000006
DFT,193.96,358.63000000000005
DOH,34.69,428.08000000000004
DON,170.75,86.11000000000007
EAB,759.56,212.75000000000006
EDI,860.59,328.72
EEI,348.11,176.01000000000005
EMT,698.21,188.46000000000004
EON,525.29,311.26000000000005
EPI,260.19,415.82000000000005
ERI,621.57,445.84000000000003
ESV,173.57,346.58000000000004
ETL,287.0,453.61
ETR,571.07,369.82000000000005
ETV,512.12,288.01000000000005
EUO,400.18,81.87000000000006
EWO,369.63,173.26000000000005
EWS,484.41,370.7800000000001
EWT,406.81,273.09000000000003
EZT,259.63,298.83000000000004
FAR,104.53,439.38000000000005
FAU,678.29,168.62000000000006
FER,213.88,449.83000000000004
FRA,583.79,457.68000000000006
GIS,848.88,285.55000000000007
GIU,89.97,419.82000000000005
GME,739.97,172.59000000000003
GON,141.97,30.680000000000064
GOO,200.8,208.47000000000003
HEU,484.07,305.90000000000003
IFO,79.16,83.29000000000002
IFR,225.69,158.55000000000007
IFT,356.08,492.64000000000004
IFU,361.0,515.61
IFW,451.17,269.15000000000003
IFY,298.76,411.45000000000005
IHW,186.92,104.03000000000003
IMF,226.67,181.79000000000002
IRN,687.42,216.71000000000004
IRR,362.12,473.83000000000004
IRY,339.19,508.63000000000005
ISV,375.98,436.23
ITE,601.33,255.60000000000002
ITG,436.24,332.00000000000006
ITH,323.02,300.81000000000006
ITN,411.13,339.1600000000001
