Code,Al,As,B,Be,Ca,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Ge,H2SO4,HNO3,K,Li,Mg,Mn,Na,Ni,P,Rb,S,SO4,Si,Sn,Sr,Te,Ti,V,Zn,ethanol,ethylene glycol,ethylenediamine,seed
ABW,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0
ACO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12037037037037036,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.42592592592592593,0.018518518518518517,0.4166666666666667,0.0,0.0,0.0,0.7314814814814815,0.0,0.0,0.0,0.0,0.018518518518518517,0.027777777777777776,0.0,0.0,0.0,0.25925925925925924
AEL,0.9850746268656716,0.0,0.0,0.0,0.0,0.022388059701492536,0.0,0.11940298507462686,0.029850746268656716,0.0,0.007462686567164179,0.26865671641791045,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.11194029850746269,0.04477611940298507,0.0,0.0,0.9925373134328358,0.0,0.0,0.0,0.1865671641791045,0.007462686567164179,0.0,0.0,0.014925373134328358,0.03731343283582089,0.007462686567164179,0.0,0.014925373134328358,0.0,0.007462686567164179
AEN,0.9855072463768116,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.043478260869565216,0.014492753623188406,0.0,0.0,0.2463768115942029,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.0,0.014492753623188406,1.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.043478260869565216,0.0,0.0
AET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFI,0.8879310344827587,0.0,0.022988505747126436,0.0,0.0,0.0028735632183908046,0.0028735632183908046,0.14367816091954022,0.040229885057471264,0.0,0.008620689655172414,0.16954022988505746,0.04885057471264368,0.005747126436781609,0.008620689655172414,0.0,0.0,0.020114942528735632,0.008620689655172414,0.06609195402298851,0.05459770114942529,0.04597701149425287,0.005747126436781609,0.8908045977011494,0.0,0.0,0.0,0.23275862068965517,0.011494252873563218,0.0,0.0,0.022988505747126436,0.04310344827586207,0.040229885057471264,0.0028735632183908046,0.008620689655172414,0.0,0.0
AFN,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,1.0,0.0,0.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.15384615384615385,0.0,0.0
